text,timestamp,our_model,vader
Apple planning AirPods updates for early 2021 - Bloomberg $AAPL https://t.co/D3TaFy0uul,1603712684.0,-1,0.0
@GrowthStockInv1 @DeItaone It’s a strange time to downgrade $AAPL but I also think most analysts are useless so I’m… https://t.co/V53NP8PC08,1603712683.0,-1,-0.67
Emerging-Market Stocks Are Looking Up. These Companies Are Outperforming U.S. Rivals. $FB $AMZN $AAPL $NFLX $HTHT https://t.co/Dtau6Rbel0,1603712680.0,-1,0.0
RT @DeItaone: $AAPL PT Lowered to $115 from $135 at Loop Capital,1603712543.0,1,-0.128
"RT @JesseCohenInv: 💥This Week's Most Notable #Earnings (via @eWhispers)

*Mon: $TWLO $HAS $CHGG
*Tues: $MSFT $AMD $PFE $LLY $MRK $CAT $MMM…",1603712533.0,1,0.0
RT @DeItaone: $AAPL: Atlantic Equities Upgrades from Neutral to Overweight,1603712507.0,1,-0.3612
"RT @NorthmanTrader: 14%-21% of $AAPL’s annual profits come from $GOOGL for building $GOOGL’s search engine into its products.

Still think…",1603712471.0,1,0.4404
@DeItaone When it comes to $AAPL I’m only trusting @munster_gene,1603712465.0,1,0.4019
$AAPL PT Lowered to $115 from $135 at Loop Capital,1603712464.0,1,-0.128
RT @RedCoatChicago: Monstrous week coming up. $TWLO $ETSY $FSLY $SHOP $LVGO in my portfolio. Thursday after the close might set the tone fo…,1603712444.0,1,0.0
"RT @StockDweebs: The US election is only two weeks away.

If Biden wins, I believe a few sectors will do very well: 

1. China stocks due t…",1603712433.0,1,0.7264
"RT @JesseCohenInv: 💥This Week's Most Notable #Earnings (via @eWhispers)

*Mon: $TWLO $HAS $CHGG
*Tues: $MSFT $AMD $PFE $LLY $MRK $CAT $MMM…",1603712371.0,1,0.0
"Politics and the Virus, Unpriced Risk, Monster Earnings $AMZN $AAPL $MSFT $PFE $BA $NVDA $HAS $HCA $OTIS $SAP $CHGG… https://t.co/8tvcPeKguW",1603712370.0,-1,-0.2732
"RT @IGSquawk: FANG+ Constituents

$AAPL 113.55 -1.28%
$AMZN 3180 -0.87%
$BABA 306.53 -0.62%
$BIDU 131.56 -3.67%
$FB 282.95 -0.64%
$GOOG 162…",1603712335.0,1,0.0
$AAPL $150PT from JP Morgan. Expects massive guidance raise on top/bottom https://t.co/4Kc5ToLPG9,1603712323.0,1,0.368
