text,timestamp,our_model,vader
You can create #Kubernetes clusters on #AzureStackHub using the #AKS engine. My team did a #WorkFromHomeWorkshop to… https://t.co/Y2udBMLKTc,1603712700.0,-1.0,0.2732
"RT @AzureSupport: Build resilient, highly-scalable, independently deployable, and easily-evolved applications with #Azure microservices. A…",1603712604.0,1.0,0.0
RT @TheXFilmXLord: I’m too passionate for regular love.,1603712589.0,1.0,0.8225
"RT @JesseCohenInv: 💥This Week's Most Notable #Earnings (via @eWhispers)

*Mon: $TWLO $HAS $CHGG
*Tues: $MSFT $AMD $PFE $LLY $MRK $CAT $MMM…",1603712533.0,1.0,0.0
"RT @AzureSupport: Build resilient, highly-scalable, independently deployable, and easily-evolved applications with #Azure microservices. A…",1603712443.0,1.0,0.0
"RT @JesseCohenInv: 💥This Week's Most Notable #Earnings (via @eWhispers)

*Mon: $TWLO $HAS $CHGG
*Tues: $MSFT $AMD $PFE $LLY $MRK $CAT $MMM…",1603712371.0,1.0,0.0
"Politics and the Virus, Unpriced Risk, Monster Earnings $AMZN $AAPL $MSFT $PFE $BA $NVDA $HAS $HCA $OTIS $SAP $CHGG… https://t.co/8tvcPeKguW",1603712370.0,-1.0,-0.2732
"RT @TheTranscript_: In The Transcript this week:

🏠It’s the golden age of housing
🧑‍🍳Many independent restaurants are struggling
🐰Demand fo…",1603712369.0,1.0,-0.4215
"RT @IGSquawk: FANG+ Constituents

$AAPL 113.55 -1.28%
$AMZN 3180 -0.87%
$BABA 306.53 -0.62%
$BIDU 131.56 -3.67%
$FB 282.95 -0.64%
$GOOG 162…",1603712335.0,1.0,0.0
"In The Transcript this week:

🏠It’s the golden age of housing
🧑‍🍳Many independent restaurants are struggling
🐰Deman… https://t.co/mbrIsSY7wl",1603712333.0,1.0,-0.4215
"My portfolio earnings so far for Quarter 3 !

$ABT - Beat
$UNA - Beat
$VLTSA.PA - Beat
$T - Beat
$TSLA - Beat
$NEP… https://t.co/qcIapiNtPd",1603712330.0,-1.0,0.0
"@OfCloudPeople 2/4

so we can assist you accordingly and effectively.

1. Are you using a Business or personal acco… https://t.co/iT4rxpjxVb",1603712304.0,-1.0,0.4404
RT @SharePoint: Get #TipsandTricks from the #SharePoint product team on how to build a beautifully designed intranet. https://t.co/p3B3bi7M…,1603712247.0,1.0,0.5719
MSFT Azure:This new technology allows you to manage Kubernetes containers across the hybrid cloud… https://t.co/TB9DDEA4Rm,1603712175.0,-1.0,0.0
"RT @JesseCohenInv: 💥This Week's Most Notable #Earnings (via @eWhispers)

*Mon: $TWLO $HAS $CHGG
*Tues: $MSFT $AMD $PFE $LLY $MRK $CAT $MMM…",1603712164.0,1.0,0.0
@MSFT__Incel @MatthewFerrari I mean no one’s gonna like cancel their HBO subscription over this so,1603712133.0,1.0,-0.1779
"$NYSI 12MA and 8MA coming in hot. Lots of Earning this week. $FB, $AAPL $AMZN $MSFT Ect. Most likely we will be jus… https://t.co/h5Bxe7imVK",1603712116.0,-1.0,0.0
$gevo $mara $mark $tsla $dkng $penn $aapl $xspa $sunw $ibio $wkhs $vxrt $mrna $spce $fb $gme $opti $nio $spaq $aal… https://t.co/Ch9Nq07Lji,1603712100.0,-1.0,0.0
"RT @eWhispers: #earnings for the week 

https://t.co/lObOE0dgsr 

$AAPL $AMZN $MSFT $AMD $UPS $FB $SHOP $BA $HAS $PFE $SMPL $MMM $TWLO $GE…",1603712045.0,-1.0,0.0
"RT @eWhispers: #earnings for the week 

https://t.co/lObOE0dgsr 

$AAPL $AMZN $MSFT $AMD $UPS $FB $SHOP $BA $HAS $PFE $SMPL $MMM $TWLO $GE…",1603712032.0,-1.0,0.0
"RT @carlquintanilla: Microsoft ""is the fourth largest contributor to Democratic Presidential candidate Joe Biden’s candidate campaign commi…",1603711841.0,1.0,0.0
