text,timestamp,our_model,vader
"https://t.co/VTlZ6oJRct

$qqq $spy $aapl $fb $googl $msft $tsla
#marketselloff https://t.co/q6aSVbEEsJ",1603746659.0,-1,0.0
"My shorts (like homebuilders and selected high growth like Carvana  ($CVNA) , Apple  ($AAPL) , Square  ($SQ) and Zo… https://t.co/7pCnaEYcrF",1603746632.0,1,0.6249
"RT @InvestorVenture: $GP INSIDERS BUYING &amp; ALOT!

@JMacInvesting Should set up an Interview with @GreenPowerBus

$FSR $SPAQ $HYLN $SHLL $TS…",1603746628.0,1,0.0
"See @BarackObama  Endorse Child Groper Joe 🇨🇳 Biden

$aapl $amzn $abbv $ba $bhc $brk $crm $cmg $dis $f $ge $hlf… https://t.co/xuorllIJt6",1603746624.0,-1,0.3182
"$GP INSIDERS BUYING &amp; ALOT!

@JMacInvesting Should set up an Interview with @GreenPowerBus

$FSR $SPAQ $HYLN $SHLL… https://t.co/Mzrqiwi9ul",1603746584.0,1,0.0
$AAPL $TSLA $MSFT $SPY $AMZN $NVDA $FB $GOOG $DIS $INO $INTC $BAC $JNJ $SQ $SHOP $WMT $V $HD #music #entertainment… https://t.co/EWxROHWJfb,1603746565.0,-1,0.0
GuruFocus Screener World Travels Video Series: Introduction - https://t.co/AVW6OH9iOW https://t.co/2V20ce8hPL $AAPL… https://t.co/lS8r16NlmZ,1603746546.0,-1,0.0
"😎 Most Popular Stocks 😎
🥇Tesla Inc
$TSLA » 420.28 🔽0.35▪️️0.08%
🥈Apple Inc.
$AAPL » 115.05 🔼0.01▪️️0.01%
🥉… https://t.co/stBck3zhhF",1603746544.0,-1,0.4754
"Most active stocks from today's after-hours trading

NASDAQ listed: Apple $AAPL Intel $INTC $QQQ Microsoft $MSFT Fa… https://t.co/nHzkFtqJmj",1603746530.0,-1,0.4576
"RT @mktparticipants: Weak day across the board, some #technology names reporting later this week did hold up better, $AMZN, $AAPL while US…",1603746492.0,1,0.0
"@onderoz9 @Valon151 @TheMarkCooke Mainly post: $FSLY $LVGO $TDOC $PINS $AVB, then $MA pre, followed by the big boys… https://t.co/lxOnQebVAv",1603746481.0,-1,0.0
@CmnSenseNotComn The fact that AMD and AAPL recovered and still ended green seems like a good sign. Just a very tough market right now,1603746481.0,1,0.5584
"$AAPL

Lots of hate lately. I've been there and get it. 

But who competes with them? Nobody does. They aren't goin… https://t.co/QfFvUHuXwC",1603746465.0,-1,-0.5719
$DXY - Should break down and fail to breach the upper neckline of the daily H/S top formation. $ES_F likely today w… https://t.co/HtpPwMHVBG,1603746464.0,-1,-0.4019
"RT @WilliamNextLev1: ""Once we get through the next choppy week or two, we have some big big gains on the horizon""

~Thomas Lee on CNBC just…",1603746406.0,1,0.34
HEATMAP-2020-10-26-close-Bigtech AAPL AMZN NFLX TSLA dodge clawback of not 1 cent of immense gains and expanded rat… https://t.co/9HMm7R94t2,1603746401.0,-1,0.34
