text,timestamp,our_model,vader
"@moku_tweetz Often Forgetting to Switch OFFF your Appliances?? 
Controlling your Appliances from your Smartphones |… https://t.co/9IIuXlb67t",1603712725.0,-1,0.0
"#Website owners, you need to get REAL #SEO advice #Google: https://t.co/qE8Qfy5wXV",1603712724.0,-1,0.0
"RT @gvprakash: A common man with an un common dream .... 
Here goes the Trailer
https://t.co/zxdFwDROZ6

#SooraraiPottruOnPrime premieres N…",1603712723.0,-1,0.25
"RT @Suriya_offl: A dream to fly! Here's  #SooraraiPottruTrailer

https://t.co/5EJ4X1rJFt

#SooraraiPottruOnPrime premieres Nov 12 @PrimeVid…",1603712723.0,-1,0.3164
"RT @URDailyHistory: 26 Oct 1952: Hattie #McDaniel, the first African-American #actress to win an #Oscar, dies of breast cancer at the age o…",1603712722.0,1,-0.1531
"RT @Suriya_offl: The wait is over! Trailer out on Oct 26, 10 AM ✈️ 
Here’s the premiere link, set your reminder!
https://t.co/lT6tUzrwnC

#…",1603712721.0,-1,0.0
"RT @sikhyaent: A common man, with an uncommon dream.
Trailer out now: https://t.co/AvjKHKtnt1

#SooraraiPottruOnPrime premieres Nov 12 @Pri…",1603712721.0,1,0.25
"RT @KomalNahta: The much awaited trailer of @primevideoIn ’s #SooraraiPottru is here, film releases 12 November 

https://t.co/cZYeIYzxbd…",1603712719.0,-1,-0.0258
"Olay Total Effects 7 in One Anti-Ageing Moisturiser Fragrance-Free, 50ml - £8.70 

https://t.co/7aCdruEfz6 https://t.co/3EY3Yz7rMM",1603712719.0,-1,0.0
"RT @ActorMadhavan: @Suriya_offl  Broo -WHATTTAAA TRAILER-👏👏👏A common man,with an uncommon dream: https://t.co/CGBQWfgDnC
#SooraraiPottruOnP…",1603712715.0,1,0.25
RT @persimew: #IARTG #IAN1 #99c #LincsConnect https://t.co/pvcKVYVBva A family torn apart by plague brings about a supernatural clash of #v…,1603712715.0,-1,-0.25
"@barfithunder @ashoswai Often Forgetting to Switch OFFF your Appliances?? 
Controlling your Appliances from your Sm… https://t.co/5TxXISoXs5",1603712714.0,-1,0.0
"RT @Somshekar_: #somshekar plays lead💛

#SooraraiPottruTrailer

https://t.co/gcwJmRQtR6

#SooraraiPottruOnPrime premieres Nov 12 @PrimeVide…",1603712714.0,-1,0.25
"Kids Ducati GP Motorcycle

Buy Now....https://t.co/x3k1hKBZVB

#kids #kidsbike #babytoys #babyboy #kidsbikes #babybiker #babybikes",1603712714.0,-1,0.0
As #RemembranceDay approaches #OnCourage shares the stories of the courageous men and women awarded the… https://t.co/nE2SN7cScy,1603712711.0,-1,0.8074
#sidegigs #sidehustles #remotework #contractor #extramoney Are you tired of being broke? Tired of juggling bills to… https://t.co/OwLP1dZLD9,1603712706.0,-1,-0.8225
"RT @vamsikaka: Here's #AakaasamNeeHaddhuRaTrailer

https://t.co/g0ygAZZL1c

Premieres Nov 12 on @primevideoIN

@Suriya_offl @themohanbabu @…",1603712705.0,-1,0.0
"This book is the ""Urgent Care"" for struggling nonprofits/charities and startups:  https://t.co/t7tAsyvlZV

#Charity… https://t.co/3E8yF4tgDn",1603712705.0,-1,0.296
"33% Off!!!

Fujifilm X-T3 Mirrorless Digital Camera (Body Only) - Silver

https://t.co/zdMINrxWCu

#BwcDeals #Deals… https://t.co/HLlNuzicVk",1603712704.0,-1,0.0
"RT @MoGalore: TILISMA Book Page Holder -Handmade Natural Walnut Thumb Bookmark -Novel Reading Accessories Gifts for Readers, Book Lovers Gi…",1603712703.0,1,0.802
"RT @4FreeEBooks: Will Timbackamoe and the Splendid Glossy Darling be able to save Cintanella or will she have to save herself? 
Super Cinta…",1603712702.0,-1,0.9578
"2020 Reader Ready Awards “Honorable Mention”

https://t.co/cBimJCg9X3

#asmsg #iartg #amreading #bookboost #books… https://t.co/Zt5ABUXfB6",1603712701.0,-1,0.6705
Will Petri #escape the #dangers of the #underworld only to find true #evil residing in the shining city of the… https://t.co/nH3dW8alJ2,1603712700.0,-1,0.4215
"@PlugandplayEV Often Forgetting to Switch OFFF your Appliances?? 

Controlling your Appliances from your Smartphone… https://t.co/3V9Xkl6c0S",1603712698.0,-1,0.0
"@Marellows74 Apologies for that, when you use the https://t.co/zYVX1Qi29G link are you provided with a phone number… https://t.co/r1NEEu9kXd",1603712696.0,-1,0.0
"RT @FatKidDeals: Indoor S'mores Maker, $16!

https://t.co/XWeQIdRGY7 https://t.co/5UYphWPtUX",1603712693.0,-1,0.0
"RT @sikhyaent: A common man, with an uncommon dream.
Trailer out now: https://t.co/AvjKHKtnt1

#SooraraiPottruOnPrime premieres Nov 12 @Pri…",1603712692.0,1,0.25
"@sunil_143India @ashoswai Often Forgetting to Switch OFFF your Appliances?? 
Controlling your Appliances from your… https://t.co/RShtDsQCjU",1603712691.0,-1,0.0
"RT @Suriya_offl: Here's #AakaasamNeeHaddhuRaTrailer

https://t.co/vQtPqFWp8j

Premieres Nov 12 on @primevideoIN

@themohanbabu @SirPareshRa…",1603712691.0,-1,0.0
RT @Revannable: #newrelease Their search for a ghost draws them together but uncovering fifty years of lies threatens to tear them apart. P…,1603712687.0,1,-0.8294
"𝑾𝒉𝒆𝒓𝒆 𝒕𝒉𝒆 𝑹𝒐𝒂𝒅 𝑻𝒂𝒌𝒆𝒔 𝑴𝒆 𝒃𝒚 @jaymcleanauthor 𝒊𝒔 99 𝒑𝒆𝒏𝒏𝒊𝒆𝒔 (𝑼.𝑺 𝒐𝒏𝒍𝒚)last chance ➜ https://t.co/aCV6ApbdXw #ad ""Some… https://t.co/3JDCDOhiTZ",1603712685.0,-1,0.25
Wow! I'm thrilled - Katie's Cornish Kitchen has over 300 ratings! Thank you to everyone who's read &amp; enjoyed their… https://t.co/VbEZSoTfKg,1603712685.0,1,0.9199
RT @BernardJanWorld: Thank you for your RTs and for spreading kindness. Special thanks to all of you who have also read or reviewed one of…,1603712684.0,1,0.8779
"RT @Suriya_offl: A dream to fly! Here's  #SooraraiPottruTrailer

https://t.co/5EJ4X1rJFt

#SooraraiPottruOnPrime premieres Nov 12 @PrimeVid…",1603712683.0,-1,0.3164
"@Amazon_India_P Often Forgetting to Switch OFFF your Appliances?? 
Controlling your Appliances from your Smartphone… https://t.co/wsvRZ5Wzhw",1603712683.0,-1,0.0
"📍 Tachio Sleep Earphones Noise Isolatio

💰 At only 10.99£ instead of 13.99£ (-21%)
🕙 The offer ends at: 17:45

🔎… https://t.co/EJf13sxD14",1603712683.0,-1,0.0
"RT @Suriya_offl: A dream to fly! Here's  #SooraraiPottruTrailer

https://t.co/5EJ4X1rJFt

#SooraraiPottruOnPrime premieres Nov 12 @PrimeVid…",1603712682.0,-1,0.3164
"WD Blue 3D NAND 1TB 2.5” SATA 6Gbps Solid State Drive - £79.99
https://t.co/KKzR1VAJ3l https://t.co/UOxe5j8bvL",1603712682.0,-1,0.7213
Emerging-Market Stocks Are Looking Up. These Companies Are Outperforming U.S. Rivals. $FB $AMZN $AAPL $NFLX $HTHT https://t.co/Dtau6Rbel0,1603712680.0,-1,0.0
"RT @Kollywoodtoday: A common man with an uncommon dream ✈️

Trailer out: https://t.co/jfvTzMvXZQ

#SooraraiPottruOnPrime premieres November…",1603712678.0,1,0.25
"RT @chrisderrick1: DON’T FORGET - in eBook form this one’s virtually a giveaway.
How does this adventure actually read?
Why not take a look…",1603712678.0,1,-0.0021
RT @wbellauthor: Down strafing Zero in Manila Harbor with shipboard AAA! Read HOLD BACK THE SUN: https://t.co/2Ireq4x6kJ #WW2 #ASMSG #IARTG…,1603712676.0,-1,0.0
"RT @chrisderrick1: GREAT value as an eBook!
Joel &amp; his companions discovered their riches by accident.
Keeping what they found – that’s the…",1603712675.0,1,0.8327
"@anoojpal Hi there. We're sorry to hear about the trouble. Since we don't have account access via social media, kin… https://t.co/Ni1pkxvedV",1603712675.0,-1,-0.4588
"RT @RanaDaggubati: A common man, with an uncommon dream.
Trailer out now https://t.co/5k2cH09peJ 
#AakaasamNeeHaddhuRaOnPrime premieres Nov…",1603712674.0,1,0.25
"Philips MMS2050/94 50W,2.1Channel Multimedia Speaker with Bluetooth,USB,FM
at ₹ 3,799/- Only [M.R.P : ₹ 7,990]

Lin… https://t.co/BxC1tJo5Mt",1603712674.0,-1,0.0
"@harsh_ram_ @jaykrishnajha @RockAlways_777 Often Forgetting to Switch OFFF your Appliances?? 
Controlling your Appl… https://t.co/fE4d2WNMfX",1603712673.0,-1,0.0
RT @HeraBooks: 'What a thrilling thriller!...There are a lot of red herrings and I was kept guessing throughout.' Thanks for starting our w…,1603712673.0,-1,0.7424
"@AllFightSticks @butteroj Often Forgetting to Switch OFFF your Appliances?? 

Controlling your Appliances from your… https://t.co/4ogrrWH1ym",1603712668.0,-1,0.0
"RT @FatKidDeals: Get a Sit/Stand Desk for only $235!! WAY under normal price!!

*Coupon on page

https://t.co/vyo7GmxnQq https://t.co/vamJj…",1603712668.0,-1,0.0
"RT @KatieGAuthor: Have you visited Swallowtail Bay yet?

Spring Tides at Swallowtail Bay
https://t.co/KrB7vwb3tS

Summer Strawberries at Sw…",1603712667.0,-1,0.0
"@iam_techie @PineappleTech1 @verge Often Forgetting to Switch OFFF your Appliances?? 
Controlling your Appliances f… https://t.co/ypOI3M6vor",1603712665.0,-1,0.0
"RT @teachergoals: Discipline and engagement are about the long game. Be patient. 
#HackingSchoolDiscipline 
https://t.co/LC24YrBwh1 https:/…",1603712663.0,-1,0.4588
"RT @ActorMadhavan: @Suriya_offl  Broo -WHATTTAAA TRAILER-👏👏👏A common man,with an uncommon dream: https://t.co/CGBQWfgDnC
#SooraraiPottruOnP…",1603712662.0,1,0.25
"Just saw this on Amazon: Fitbit Versa 2 Health and Fitness Smartwatch with Heart Rate, Music, Alexa Built-In, Sleep… https://t.co/1VKJFllO9G",1603712660.0,-1,0.4215
RT @JChapman1729: Not only did this book have one of the best openings ever but it also had one of the best closing lines ever - A Tale of…,1603712660.0,1,0.8555
"@okayanusha Often Forgetting to Switch OFFF your Appliances?? 
Controlling your Appliances from your Smartphones |… https://t.co/kr4dRaoM7z",1603712660.0,-1,0.0
@ashwin__sharma We've sent the correspondence to your registered email. Please check for the email sent from Social… https://t.co/fYYzEwPOfe,1603712657.0,-1,0.3182
"RT @guneetm: A common man, with an uncommon dream.
Trailer out now: https://t.co/6Rd3E6aXW6

#SooraraiPottruOnPrime premieres Nov 12 @Prime…",1603712656.0,1,0.25
"RT @Suriya_offl: Here's #AakaasamNeeHaddhuRaTrailer

https://t.co/vQtPqFWp8j

Premieres Nov 12 on @primevideoIN

@themohanbabu @SirPareshRa…",1603712655.0,-1,0.0
"RT @Lyricist_Vivek: Its always Dream Vs Reality
Nedumaran —&gt; Dream = Reality 

Here goes the Inspiring Trailer
https://t.co/nATQ9Mwq1J

#So…",1603712654.0,-1,0.7003
"RT @MAllanScott: She discovers the truth beneath the homicides. Four murders within six months. A serial killer, the work of one maniac. Is…",1603712654.0,1,-0.8779
