text,timestamp,our_model,vader
"@JamesSo19372410 We apologize for the inconvenience, James. Our engineers are investigating this issue and an updat… https://t.co/vgI1N6k6rF",1603746685.0,-1,-0.2732
RT @MITickWatcher: #Options Flow Grid Update $MSFT #OptionsTrading #Microsoft Shares🔻2.59% to $210.64 #OptionsFlow #Microsoft365 #stocks #s…,1603746672.0,1,0.0
"RT @PlayCraftLearn: #MinecraftEdu is hosting our first-ever Global #BuildChampionship, designed to engage students remotely or in the class…",1603746667.0,1,0.34
"https://t.co/VTlZ6oJRct

$qqq $spy $aapl $fb $googl $msft $tsla
#marketselloff https://t.co/q6aSVbEEsJ",1603746659.0,-1,0.0
#Options Flow Grid Update $MSFT #OptionsTrading #Microsoft Shares🔻2.59% to $210.64 #OptionsFlow #Microsoft365… https://t.co/apl9u26ueA,1603746652.0,-1,0.0
"See @BarackObama  Endorse Child Groper Joe 🇨🇳 Biden

$aapl $amzn $abbv $ba $bhc $brk $crm $cmg $dis $f $ge $hlf… https://t.co/xuorllIJt6",1603746624.0,-1,0.3182
"RT @GearsofWar: #Gears5 is getting a huge campaign update on November 10!

☑️ Play as your fave character 🔥
☑️ Take on the dual Ironman and…",1603746622.0,1,0.784
"@SBSDiva @LURIE_MSFT @windowsinsider Thanks Susan I've read the comments but some confuse me deeply.
Why one is upg… https://t.co/wdVZxttjDx",1603746608.0,-1,-0.1027
"RT @OpenAtMicrosoft: Take a tour of what’s new in Citus 9.4, the open-source extension that scales out Postgres horizontally. 🐘

+1 to @mar…",1603746606.0,1,0.0
RT @MicrosoftStream: Get an overview of the new #MicrosoftStream: https://t.co/3OMg5MkJ1K https://t.co/8gx5KDQ8ia,1603746594.0,-1,0.0
$AAPL $TSLA $MSFT $SPY $AMZN $NVDA $FB $GOOG $DIS $INO $INTC $BAC $JNJ $SQ $SHOP $WMT $V $HD #music #entertainment… https://t.co/EWxROHWJfb,1603746565.0,-1,0.0
"Most active stocks from today's after-hours trading

NASDAQ listed: Apple $AAPL Intel $INTC $QQQ Microsoft $MSFT Fa… https://t.co/nHzkFtqJmj",1603746530.0,-1,0.4576
"RT @GearsofWar: #Gears5 is getting a huge campaign update on November 10!

☑️ Play as your fave character 🔥
☑️ Take on the dual Ironman and…",1603746523.0,1,0.784
"RT @GearsofWar: #Gears5 is getting a huge campaign update on November 10!

☑️ Play as your fave character 🔥
☑️ Take on the dual Ironman and…",1603746511.0,1,0.784
$DXY - Should break down and fail to breach the upper neckline of the daily H/S top formation. $ES_F likely today w… https://t.co/HtpPwMHVBG,1603746464.0,-1,-0.4019
"RT @GearsofWar: #Gears5 is getting a huge campaign update on November 10!

☑️ Play as your fave character 🔥
☑️ Take on the dual Ironman and…",1603746444.0,1,0.784
"RT @GearsofWar: #Gears5 is getting a huge campaign update on November 10!

☑️ Play as your fave character 🔥
☑️ Take on the dual Ironman and…",1603746416.0,1,0.784
"RT @TopStockAlerts1: $MSFT How to Trade Microsoft After It Reports Earnings

https://t.co/pzakTOCtyy",1603746415.0,-1,0.0
"RT @GearsofWar: #Gears5 is getting a huge campaign update on November 10!

☑️ Play as your fave character 🔥
☑️ Take on the dual Ironman and…",1603746385.0,1,0.784
"RT @dotnet: Almost half of daily internet access occurs via mobile. What does this mean to you as a developer? 

Mobile app development is…",1603746377.0,1,0.0
RT @Azure: Find comprehensive technical guidance for deploying and managing Linux workloads on #Azure in this complimentary e-book: https:/…,1603746347.0,1,0.657
"RT @GearsofWar: #Gears5 is getting a huge campaign update on November 10!

☑️ Play as your fave character 🔥
☑️ Take on the dual Ironman and…",1603746285.0,1,0.784
"RT @SenSanders: COVID-19 deaths:
United States: 225,000
Population: 328.2 million

COVID-19 deaths:
Canada: 9,963
Japan: 1,716
Australia: 9…",1603746231.0,1,0.4215
"RT @GearsofWar: #Gears5 is getting a huge campaign update on November 10!

☑️ Play as your fave character 🔥
☑️ Take on the dual Ironman and…",1603746225.0,1,0.784
RT @lenarios27: just gonna throw this on the tl. https://t.co/1y5KuVTMtH,1603746218.0,1,0.0
"RT @OpenAtMicrosoft: Take a tour of what’s new in Citus 9.4, the open-source extension that scales out Postgres horizontally. 🐘

+1 to @mar…",1603746180.0,1,0.0
"RT @XboxSupport: Need to quickly record *insert super cool thing*? 
No problem: Windows logo key + Alt + R

Troubleshoot Xbox Game Bar on W…",1603746151.0,1,0.4767
"RT @StockHighArmy: Introducing $ARBTF Argo Gold Uchi Lake Mine Project https://t.co/Qh9fGUF00r @ipoguy 

$NFLX $AMZN $TSLA $FB $MSFT $DIA $…",1603746147.0,-1,0.0
"RT @XboxSupport: Need to quickly record *insert super cool thing*? 
No problem: Windows logo key + Alt + R

Troubleshoot Xbox Game Bar on W…",1603746092.0,1,0.4767
"RT @GearsofWar: #Gears5 is getting a huge campaign update on November 10!

☑️ Play as your fave character 🔥
☑️ Take on the dual Ironman and…",1603746076.0,1,0.784
"Upcoming earnings calls on Tuesday, October 27 2020:
1. $MSFT Microsoft Corporation
2. $MRK Merck &amp; Co., Inc.
3.… https://t.co/WpRO6FDbem",1603746034.0,1,0.0
"Always looking for new, long- term trade ideas, like https://t.co/yqFItBfdMi, terrascend and Fastly, and any other… https://t.co/4PhNHRQXJg",1603746021.0,1,0.3612
"RT @PlayCraftLearn: A peer can be your best resource for exploring new ideas. This week, we're encouraging connections between the global #…",1603746016.0,1,0.8225
"RT @Microsoft: October is National Cybersecurity Awareness Month (#NCSAM), and with cyberattacks increasing every day, there's never been a…",1603746014.0,1,0.0
RT @Azure: Join @ScottGu and #LinuxOnAzure rock stars at #OpenAzureDay on November 18 to get best practices for running Linux and OSS workl…,1603746006.0,1,0.7506
"Shake off the Monday blues by showing us your best #NFL spirit for a chance to meet @JerryRice.

To enter: 
1. Gath… https://t.co/JEco1Bj9Cn",1603746002.0,1,0.7351
RT @msdev: Learn how to use #GitHubActions for Azure to easily create resilient code-to-cloud workflows for your DevOps practice. Register…,1603746000.0,1,0.5423
"Interested in learning more about @MSFTDynamics365?

#MSPartner organizations can now join monthly “Dynamics Corner… https://t.co/yJFjQAKYNo",1603746000.0,-1,0.5994
$wwr $wkhs $fsly $penn $msft $fb $gme $spaq $zm $boxl $opti $ino $aal $xspa $dkng $nkla $srne $aapl $vxrt $avgr… https://t.co/6aLL3dmFxn,1603746000.0,-1,0.0
"RT @Dividend_Dollar: Investing with a LONG-TERM mindset takes patience, but tends to pay off!

10 years ago these stocks were trading at th…",1603745993.0,1,-0.2244
"RT @GearsofWar: #Gears5 is getting a huge campaign update on November 10!

☑️ Play as your fave character 🔥
☑️ Take on the dual Ironman and…",1603745969.0,1,0.784
"RT @GearsofWar: #Gears5 is getting a huge campaign update on November 10!

☑️ Play as your fave character 🔥
☑️ Take on the dual Ironman and…",1603745968.0,1,0.784
Find comprehensive technical guidance for deploying and managing Linux workloads on #Azure in this complimentary e-… https://t.co/wGiWnEGnYo,1603745963.0,1,0.657
MSCloud: RT @Azure: What datacenter challenges are you facing? Learn to build datacenter resilience with the cloud… https://t.co/QhasTmDwq8,1603745961.0,-1,0.0772
"RT @GearsofWar: #Gears5 is getting a huge campaign update on November 10!

☑️ Play as your fave character 🔥
☑️ Take on the dual Ironman and…",1603745959.0,1,0.784
RT @MSTCommunity: Submit your questions for the next #MicrosoftTeams webcast! Host @stephenlrose talks with Microsoft Corporate Vice Presid…,1603745959.0,1,0.0
RT @MSFTDynamics365: Get to know your customer data platform (CDP) from your customer relationship management (CRM) and your data managemen…,1603745929.0,1,0.0
RT @OneNoteEDU: Improve #accessibility in the classroom with this @MadeByDyslexia learning path. Educators will learn how to support the ch…,1603745917.0,-1,0.6808
"RT @WindowsDocs: WSL\Linux for Students

Today, Matt Wojciakowski, @mattwojo, explains 3 different ways to get started on JavaScript, and o…",1603745884.0,1,0.0
"RT @Microsoft: Lobe simplifies the process of machine learning into three easy steps: 

➡️Collect and label your images
➡️Train a model and…",1603745880.0,-1,0.4404
Jumped into $MSFT today. https://t.co/fVRVXXAL9a,1603745872.0,-1,0.0
"RT @MSCloud: Create an open, intelligent platform for over-the-top partnerships that unlock new revenue streams. Discover how: https://t.co…",1603745867.0,-1,0.6249
"RT @GearsofWar: #Gears5 is getting a huge campaign update on November 10!

☑️ Play as your fave character 🔥
☑️ Take on the dual Ironman and…",1603745859.0,1,0.784
"@Evy316 @Xbox @XboxSupport Okay please  contact support here: https://t.co/XTfKHxzdKx

This will automatically put… https://t.co/i3l6rxZnoM",1603745839.0,-1,0.7096
"RT @PsychoTrader00: Bloomin' Brands $BLMN had a price target raise by Morgan Stanley $MS from $17 to $18 at EQUAL WEIGHT, by Deutsche Bank…",1603745833.0,1,0.0
RT @Azure: Find comprehensive technical guidance for deploying and managing Linux workloads on #Azure in this complimentary e-book: https:/…,1603745832.0,1,0.657
"RT @GearsofWar: #Gears5 is getting a huge campaign update on November 10!

☑️ Play as your fave character 🔥
☑️ Take on the dual Ironman and…",1603745822.0,1,0.784
RT @SharePoint: The home site app for Teams brings the power of your #SharePoint-based intranet home site into #MicrosoftTeams. https://t.c…,1603745818.0,-1,0.0
"RT @GearsofWar: #Gears5 is getting a huge campaign update on November 10!

☑️ Play as your fave character 🔥
☑️ Take on the dual Ironman and…",1603745807.0,1,0.784
"RT @CloudSkills_io: Want to become an Azure Certified Administrator?

This 8 hour course covers the new AZ-104 exam with training delivered…",1603745799.0,1,0.0772
"RT @Microsoft: From @netflix's Over the Moon, Fei Fei is brave, bold, and determined. She believes anything is possible and will stop at no…",1603745795.0,1,0.7351
